sku,Barcode,name,qty
SAFE-ME4K-001D,2704872311011606,Me4Kidz Medi Buddy First Aid Kit Penguin,2
TOIL-ME4K-001A,2704872311013697,Me4Kidz Smile Buddy Kids Oral Care Kit,18
OTHE-ME4K-001A,2704872311010307,Me4Kidz Diaper Bag Buddy Baby Basic Kit,12
ORGA-IKYU-001A,2704872311010215,Ikyusan Organic Baby Air Disinfectant 300ml,50
FEED-CHIC-002B,2704872311008378,Chicco Pure Steam Cooker Brown,0
BREA-NATU-001A,2704872311002604,Natur Breast Milk Storage Bags (Isi 30),0
PUMP-UNIM-001B,2704872311011600,Unimom Allegro Breast Pump & Switch Kit,4
PUMP-UNIM-001C,2704872311011601,Unimom Forte Breast Pump,22
BAG0-UNIM-001A,2704872311000707,Unimom Cooler Bag,0
COOK-TAKA-001A,2704872311007548,"Takahi Slow Cooker 0,7 L Pink",48
COOK-TAKA-001B,2704872311007549,"Takahi Slow Cooker 0,7 L Biru",44
COOK-TAKA-001C,2704872311007550,"Takahi Slow Cooker 0,7 L Merah",48
COOK-TAKA-002A,2704872311007551,"Takahi Slow Cooker 1,2 L Pink",48
COOK-TAKA-002B,2704872311007552,"Takahi Slow Cooker 1,2 L Biru",30
COOK-TAKA-002C,2704872311007553,"Takahi Slow Cooker 1,2 L Merah",42
FEED-BOON-001A,2704872311008357,Boon Squirt Orange,30
FEED-BOON-001C,2704872311008359,Boon Squirt Kuning,52
BREA-GIAN-001A,2704872311002599,Little Giant Breastmilk Storage Bags (Isi 50),40
BREA-GIAN-001B,2704872311002600,Little Giant Breastmilk Storage Bags (Isi 25),16
PUMP-GIAN-001A,2704872311011580,Little Giant Mosella Breast Pump,18
FEED-BOON-001B,2704872311008358,Boon Squirt Hijau,32
OTHE-BNWI-001A,2704872311010227,BabyBen Baby Carrying Cot Blue,6
OTHE-BNWI-001B,2704872311010228,BabyBen Baby Carrying Cot Blue Green,4
OTHE-MOSO-002A,2704872311010321,Mosout Natural Anti Mosquito Bracelet Kids Orange,0
OTHE-MOSO-002B,2704872311010322,Mosout Natural Anti Mosquito Bracelet Kids Pink,0
OTHE-MOSO-002C,2704872311010323,Mosout Natural Anti Mosquito Bracelet Kids Blue,0
OTHE-MOSO-002D,2704872311010324,Mosout Natural Anti Mosquito Bracelet Kids Yellow,0
PACI-BRIG-012B,2704872311010501,Bright Starts Teethe & Read Orange,4
BAG0-BBEN-004A,2704872311000393,Owlielolie Square Bag Red,0
BAG0-BBEN-004B,2704872311000394,Owlielolie Square Bag Coffee,0
BAG0-BBEN-004C,2704872311000395,Owlielolie Square Bag Brown,0
TOIL-PUMP-001B,2704872311013746,Pumpee Finger Toothbrush,0
TOIL-PUMP-003B,2704872311013749,Pumpee Baby Hair Washing Protector Green,12
