##CCP,url_path,sku,position
CCP,pakaian-dan-aksesoris.html,ACCE-ABCD-001A,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-ABCD-001A,1
CCP,promo-panin/clothing-acc.html,ACCE-ABCD-001A,4245
CCP,pakaian-dan-aksesoris.html,ACCE-ABCD-001B,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-ABCD-001B,1
CCP,promo-panin/clothing-acc.html,ACCE-ABCD-001B,4244
CCP,pakaian-dan-aksesoris.html,ACCE-ABCD-001C,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-ABCD-001C,1
CCP,promo-panin/clothing-acc.html,ACCE-ABCD-001C,4243
CCP,pakaian-dan-aksesoris.html,ACCE-ABCD-001D,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-ABCD-001D,1
CCP,promo-panin/clothing-acc.html,ACCE-ABCD-001D,4242
CCP,pakaian-dan-aksesoris.html,ACCE-ABCD-001E,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-ABCD-001E,1
CCP,promo-panin/clothing-acc.html,ACCE-ABCD-001E,4241
CCP,pakaian-dan-aksesoris.html,ACCE-ABCD-001F,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-ABCD-001F,1
CCP,promo-panin/clothing-acc.html,ACCE-ABCD-001F,4240
CCP,pakaian-dan-aksesoris.html,ACCE-ABCD-002A,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-ABCD-002A,1
CCP,promo-panin/clothing-acc.html,ACCE-ABCD-002A,4239
CCP,pakaian-dan-aksesoris.html,ACCE-ABCD-002B,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-ABCD-002B,1
CCP,promo-panin/clothing-acc.html,ACCE-ABCD-002B,4238
CCP,pakaian-dan-aksesoris.html,ACCE-ABCD-002C,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-ABCD-002C,1
CCP,promo-panin/clothing-acc.html,ACCE-ABCD-002C,4237
CCP,pakaian-dan-aksesoris.html,ACCE-ABCD-002D,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-ABCD-002D,1
CCP,promo-panin/clothing-acc.html,ACCE-ABCD-002D,4236
CCP,pakaian-dan-aksesoris.html,ACCE-ABCD-002E,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-ABCD-002E,1
CCP,promo-panin/clothing-acc.html,ACCE-ABCD-002E,4235
CCP,pakaian-dan-aksesoris.html,ACCE-ABCD-002F,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-ABCD-002F,1
CCP,promo-panin/clothing-acc.html,ACCE-ABCD-002F,4234
CCP,pakaian-dan-aksesoris.html,ACCE-ANDI-001A,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-ANDI-001A,1
CCP,promo-panin/clothing-acc.html,ACCE-ANDI-001A,4031
CCP,pakaian-dan-aksesoris.html,ACCE-ANDI-001B,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-ANDI-001B,1
CCP,promo-panin/clothing-acc.html,ACCE-ANDI-001B,4030
CCP,pakaian-dan-aksesoris.html,ACCE-ANDI-001C,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-ANDI-001C,1
CCP,promo-panin/clothing-acc.html,ACCE-ANDI-001C,4029
CCP,pakaian-dan-aksesoris.html,ACCE-ANDI-002A,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-ANDI-002A,1
CCP,promo-panin/clothing-acc.html,ACCE-ANDI-002A,4028
CCP,pakaian-dan-aksesoris.html,ACCE-ANDI-002B,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-ANDI-002B,1
CCP,promo-panin/clothing-acc.html,ACCE-ANDI-002B,4027
CCP,pakaian-dan-aksesoris.html,ACCE-ANDI-002C,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-ANDI-002C,1
CCP,promo-panin/clothing-acc.html,ACCE-ANDI-002C,4026
CCP,pakaian-dan-aksesoris.html,ACCE-BASI-001A,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-BASI-001A,99999
CCP,promo-panin/clothing-acc.html,ACCE-BASI-001A,4715
CCP,pakaian-dan-aksesoris.html,ACCE-BASI-001B,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-BASI-001B,99999
CCP,promo-panin/clothing-acc.html,ACCE-BASI-001B,4714
CCP,pakaian-dan-aksesoris.html,ACCE-BBEN-001A,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-BBEN-001A,13
CCP,promo-bni-15/clothing-acc.html,ACCE-BBEN-001A,374
CCP,promo-panin/clothing-acc.html,ACCE-BBEN-001A,6344
CCP,pakaian-dan-aksesoris.html,ACCE-BBEN-002A,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-BBEN-002A,99999
CCP,promo-bni-15/clothing-acc.html,ACCE-BBEN-002A,403
CCP,promo-panin/clothing-acc.html,ACCE-BBEN-002A,6315
CCP,pakaian-dan-aksesoris.html,ACCE-BBEN-003A,99999
CCP,perlengkapan-makan-bayi.html,ACCE-BBEN-003A,99999
CCP,perlengkapan-makan-bayi/celemek-bayi.html,ACCE-BBEN-003A,1
CCP,promo-bni-15/clothing-acc.html,ACCE-BBEN-003A,404
CCP,promo-panin/clothing-acc.html,ACCE-BBEN-003A,6314
CCP,pakaian-dan-aksesoris.html,ACCE-BBEN-004A,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-BBEN-004A,99999
CCP,promo-bni-15/clothing-acc.html,ACCE-BBEN-004A,426
CCP,promo-panin/clothing-acc.html,ACCE-BBEN-004A,6292
CCP,pakaian-dan-aksesoris.html,ACCE-BBEN-004B,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-BBEN-004B,16
CCP,promo-bni-15/clothing-acc.html,ACCE-BBEN-004B,427
CCP,promo-panin/clothing-acc.html,ACCE-BBEN-004B,6291
CCP,pakaian-dan-aksesoris.html,ACCE-BBEN-005A,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-BBEN-005A,16
CCP,promo-bni-15/clothing-acc.html,ACCE-BBEN-005A,428
CCP,promo-panin/clothing-acc.html,ACCE-BBEN-005A,6290
CCP,pakaian-dan-aksesoris.html,ACCE-BBEN-005B,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-BBEN-005B,15
CCP,promo-bni-15/clothing-acc.html,ACCE-BBEN-005B,429
CCP,promo-panin/clothing-acc.html,ACCE-BBEN-005B,6289
CCP,pakaian-dan-aksesoris.html,ACCE-BBEN-006A,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-BBEN-006A,15
CCP,promo-bni-15/clothing-acc.html,ACCE-BBEN-006A,430
CCP,promo-panin/clothing-acc.html,ACCE-BBEN-006A,6288
CCP,pakaian-dan-aksesoris.html,ACCE-BBEN-006B,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-BBEN-006B,14
CCP,promo-bni-15/clothing-acc.html,ACCE-BBEN-006B,431
CCP,promo-panin/clothing-acc.html,ACCE-BBEN-006B,6287
CCP,pakaian-dan-aksesoris.html,ACCE-BBEN-007A,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-BBEN-007A,2
CCP,set-hadiah-bayi-dan-anak/new-mom-check-list/category-makan-menyusui/drinking-cup.html,ACCE-BBEN-007A,0
CCP,promo-bni-15/clothing-acc.html,ACCE-BBEN-007A,432
CCP,promo-panin/clothing-acc.html,ACCE-BBEN-007A,6286
CCP,perlengkapan-makan-bayi.html,ACCE-BBEN-008A,99999
CCP,perlengkapan-makan-bayi/tas-bayi-dan-anak.html,ACCE-BBEN-008A,1
CCP,promo-bni-15/clothing-acc.html,ACCE-BBEN-008A,613
CCP,promo-panin/clothing-acc.html,ACCE-BBEN-008A,6105
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-BBEN-009A,99999
CCP,promo-bni-15/clothing-acc.html,ACCE-BBEN-009A,614
CCP,promo-panin/clothing-acc.html,ACCE-BBEN-009A,6104
CCP,pakaian-dan-aksesoris.html,ACCE-BBEN-009B,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-BBEN-009B,99999
CCP,promo-bni-15/clothing-acc.html,ACCE-BBEN-009B,615
CCP,promo-panin/clothing-acc.html,ACCE-BBEN-009B,6103
CCP,pakaian-dan-aksesoris.html,ACCE-BBEN-010A,99999
CCP,pakaian-dan-aksesoris/aksesoris-bayi-dan-anak.html,ACCE-BBEN-010A,99999
CCP,promo-bni-15/clothing-acc.html,ACCE-BBEN-010A,937
CCP,promo-panin/clothing-acc.html,ACCE-BBEN-010A,5782
